Sl. No.,State,Name of Project,Unit No,Total Capacity,Date of Commissioning,Category,SO2 Norms (mg/Nm3),Average SO2 (mg/Nm3) - 2023-24,Note of Average SO2 (mg/Nm3) - 2023-24,Average SO2 (mg/Nm3) - 2024-25,Note of Average SO2 (mg/Nm3) - 2024-25
1,Andhra Pradesh,Damodaram Sanjeevaiah TPS,1,800,28-08-2014,C,200,623,NA,472,NA
2,Andhra Pradesh,Damodaram Sanjeevaiah TPS,2,800,17-03-2015,C,200,618,NA,530,NA
3,Andhra Pradesh,Dr. N.TATA RAO TPS,1,210,01-11-1979,A,600,1213,NA,1227,NA
4,Andhra Pradesh,Dr. N.TATA RAO TPS,2,210,10-10-1980,A,600,1184,NA,1170,NA
5,Andhra Pradesh,Dr. N.TATA RAO TPS,3,210,05-10-1989,A,600,1205,NA,1219,NA
6,Andhra Pradesh,Dr. N.TATA RAO TPS,4,210,23-08-1990,A,600,1221,NA,1183,NA
7,Andhra Pradesh,Dr. N.TATA RAO TPS,5,210,31-03-1994,A,600,1213,NA,1147,NA
8,Andhra Pradesh,Dr. N.TATA RAO TPS,6,210,24-02-1995,A,600,1219,NA,1189,NA
9,Andhra Pradesh,Dr. N.TATA RAO TPS,7,500,08-10-2009,A,200,808,NA,864,NA
10,Andhra Pradesh,PAINAMPURAM TPP,1,660,07-02-2015,C,200,NA,*,1254,NA
11,Andhra Pradesh,PAINAMPURAM TPP,2,660,03-09-2015,C,200,NA,*,1328,NA
12,Andhra Pradesh,RAYALASEEMA TPS,1,210,31-03-1994,C,600,335,NA,194,NA
13,Andhra Pradesh,RAYALASEEMA TPS,2,210,25-02-1995,C,600,339,NA,161,NA
14,Andhra Pradesh,RAYALASEEMA TPS,3,210,25-01-2007,C,600,607,NA,200,NA
15,Andhra Pradesh,RAYALASEEMA TPS,4,210,20-11-2007,C,600,459,NA,170,NA
16,Andhra Pradesh,RAYALASEEMA TPS,5,210,31-12-2010,C,600,605,NA,321,NA
17,Andhra Pradesh,RAYALASEEMA TPS,6,600,12-03-2018,C,100,NA,*,NA,*
18,Andhra Pradesh,SGPL TPP,1,660,12-11-2016,C,200,1012,NA,1152,NA
19,Andhra Pradesh,SGPL TPP,2,660,15-02-2017,C,100,1234,NA,1160,NA
20,Andhra Pradesh,SIMHADRI,1,500,22-02-2002,A,200,1003,NA,983,NA
