Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Construction,North America,India,2022,266.19,501.87,96.54,81.37,39.8,15.32,577.29,10188.8,33.86,51.91,7.12,7.1
Construction,Africa,India,2022,251.18,684.41,48.87,35.5,22.31,16.84,933.33,9172.05,77.41,21.72,-3.38,7.87
Manufacturing,Africa,India,2022,156.06,41.91,34.71,144.38,42.2,9.76,132.55,5769.05,42.51,27.39,-9.41,-2.71
Manufacturing,North America,India,2022,194.06,999.69,24.84,77.56,31.27,16.82,769.39,10432.81,89.82,74.15,3.91,2.52
Manufacturing,Europe,India,2022,153.41,507.56,56.81,166.81,24.22,11.3,1370.94,24044.53,38.94,92.87,13.04,3.15
Manufacturing,Oceania,India,2022,88.29,645.29,33.44,10.56,37.52,1.09,1476.26,577.01,40.79,77.19,14.01,-1.33
Energy,South America,India,2022,222.05,840.44,27.9,185.41,2.0,13.06,85.14,23577.04,37.19,26.42,-4.16,4.47
Energy,South America,India,2022,124.82,585.58,86.87,152.28,37.9,2.82,616.09,6002.76,49.92,57.21,12.74,8.08
Manufacturing,Oceania,India,2022,83.54,587.09,22.15,149.16,42.41,5.53,810.78,7905.07,26.92,48.38,-1.04,0.14
Manufacturing,Oceania,India,2022,247.68,10.23,97.57,13.34,48.42,5.93,668.45,20337.1,26.75,13.14,1.71,3.08
Construction,Asia,India,2022,193.9,937.24,77.06,101.57,5.33,5.71,785.03,8355.48,66.5,32.67,13.83,3.98
Manufacturing,Europe,India,2022,194.61,440.59,32.02,11.57,29.11,1.93,506.94,18071.6,72.62,32.52,10.18,4.76
Construction,Europe,India,2022,208.83,83.16,73.06,81.75,9.05,16.08,698.81,14252.06,46.25,76.4,4.9,5.5
Construction,Asia,India,2022,164.25,711.6,8.63,67.0,29.74,4.46,250.51,8901.57,91.81,41.1,-5.4,9.3
Manufacturing,Europe,India,2022,287.28,99.29,25.22,57.9,17.75,6.41,1026.85,7098.01,79.86,15.01,4.69,3.94
Manufacturing,Oceania,India,2022,226.13,488.49,35.86,88.1,9.91,13.06,75.43,22138.01,96.47,72.82,9.38,4.77
Mining,North America,India,2022,264.98,19.77,83.34,88.16,2.64,5.52,773.03,8864.97,25.82,1.19,5.87,4.88
Construction,Asia,India,2022,128.99,385.74,9.33,170.3,34.08,1.82,1246.12,15749.36,87.99,66.41,0.42,7.78
Construction,Oceania,India,2022,162.19,9.04,14.34,77.82,1.55,4.45,663.54,8183.78,51.11,60.7,10.45,-3.5
Construction,South America,India,2022,203.32,259.85,19.18,117.64,12.57,2.57,690.43,21578.81,89.98,1.61,-2.18,-4.53
Energy,North America,India,2022,241.28,88.6,57.24,111.52,15.22,11.88,81.24,18436.59,92.19,60.19,-8.23,4.45
Mining,Asia,India,2022,41.81,127.41,92.7,186.42,2.02,17.41,1497.67,22220.13,87.54,36.15,1.55,-3.38
Energy,Africa,India,2022,104.68,214.23,1.68,49.24,17.75,12.07,827.24,7319.81,24.07,13.32,0.96,-2.1
Manufacturing,Europe,India,2022,121.9,524.38,14.18,50.41,24.46,6.17,446.23,24681.06,68.43,58.41,1.98,-4.78
Mining,Asia,India,2022,198.23,579.77,94.92,31.99,13.92,6.21,504.77,8473.35,94.5,90.48,5.44,9.78
Manufacturing,Oceania,India,2022,223.67,405.54,4.7,99.26,24.44,11.81,1142.93,16953.86,84.59,79.31,1.85,-4.94
Manufacturing,Oceania,India,2022,113.81,706.76,29.52,85.35,32.8,11.91,1369.73,2262.07,47.69,86.7,-2.68,-4.82
Construction,Africa,India,2022,14.98,123.77,71.3,19.34,31.73,4.36,1094.16,12402.45,84.98,60.96,-3.2,-4.26
Construction,North America,India,2022,49.37,956.5,33.16,194.2,24.33,5.68,1114.76,13423.68,66.81,16.81,8.09,-3.13
Manufacturing,Europe,India,2022,88.14,568.86,80.49,26.63,22.08,2.44,943.57,22948.0,65.76,30.68,11.24,3.78
Construction,South America,India,2022,76.49,556.88,59.86,73.97,22.96,18.14,1098.41,9836.81,28.74,17.53,12.89,-2.54
Construction,Oceania,India,2022,132.92,444.76,91.0,46.41,7.5,11.06,334.51,8914.65,54.61,88.15,4.08,7.25
Manufacturing,Europe,India,2022,296.1,947.17,96.64,119.91,25.45,18.04,1406.33,2348.53,78.73,78.85,13.09,2.21
Mining,Africa,India,2022,143.35,805.82,74.12,64.7,0.56,0.17,405.58,3825.25,55.82,32.09,2.81,5.6
Energy,Asia,India,2022,224.29,58.22,50.82,106.5,17.61,1.99,1139.44,5472.73,88.39,96.22,12.67,-0.8
