Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Manufacturing,Africa,India,2013,275.92,21.02,90.3,186.46,48.01,8.76,312.98,19364.78,51.43,90.11,-8.63,3.98
Mining,Africa,India,2007,173.66,73.45,16.9,121.22,1.94,5.86,757.58,18723.17,33,92.07,6,5.75
Construction,Africa,India,2006,269.68,8.66,20.03,162.52,48.87,18,1095.28,22086.36,67.15,91.57,13.83,-2.69
Mining,Africa,India,2015,299.38,129.58,30.65,130.42,1.76,12.41,485.65,14764.08,23.97,93.1,11.09,6.61
Energy,Africa,India,2015,24.56,482.58,71.98,88.43,1.13,3.13,1347.45,24116.62,67.8,73.89,-1.27,1.15
Manufacturing,Africa,India,2019,109.12,30.84,15.84,13.01,16.97,3.7,121.27,3002.75,39.98,44.15,7.25,9.65
Construction,Africa,India,2018,181.72,85.08,87.42,81.4,41.97,1.99,872.78,21960.93,39.68,60.82,5.83,4.03
Construction,Africa,India,2022,251.18,684.41,48.87,35.5,22.31,16.84,933.33,9172.05,77.41,21.72,-3.38,7.87
Energy,Africa,India,2005,259.75,403.2,17.36,17.72,31.11,5.6,1460.67,379.72,29.42,63.79,-3.73,1.09
Energy,Africa,India,2021,291.43,215.44,60.51,142.93,34.73,17.81,763.39,661.8,36.51,99.46,10.97,-1.33
Manufacturing,Africa,India,2022,156.06,41.91,34.71,144.38,42.2,9.76,132.55,5769.05,42.51,27.39,-9.41,-2.71
Mining,Africa,India,2018,197.92,428.7,73.13,130.63,18.38,16.68,369.17,23197.29,25.75,78.34,1.98,0.38
Energy,Africa,India,2004,189.63,303.46,10.41,112.6,23.1,19.39,123.07,17546.03,76.36,74.8,-7.48,1.81
Manufacturing,Africa,India,2007,71.38,237.63,92.5,146.02,0.63,4.99,662.53,24297.42,35.82,6.81,0.54,6.74
Manufacturing,Africa,India,2011,18.18,465.57,45.33,67.61,7.25,18.57,201.58,14517.02,76.62,35.78,1.58,-3.2
Manufacturing,Africa,India,2021,130.18,287.21,55.28,70.41,15.63,19.89,1062.81,2506.35,31.31,81.08,-0.42,5.93
Construction,Africa,India,2002,46.55,449.9,68.38,192.85,3.39,16.1,1020.89,5680.56,86.1,72.6,-7.22,-3.14
Construction,Africa,India,2013,229.55,901.65,36.7,75.55,46.41,12.97,1399.85,5586.14,44.08,20.06,-8.9,8.21
Manufacturing,Africa,India,2020,157.26,663.06,33.77,183.87,45.13,0.89,201.43,5374.53,42.78,4.97,7.72,2.03
Energy,Africa,India,2017,187.99,417.05,94.03,8.11,18.86,18.02,257.3,13439.25,43.53,37,-6.95,-3.82
Energy,Africa,India,2015,276.51,265.69,48.02,1.78,1.29,3.08,1159.66,17247.72,22.72,33.53,5.6,1.77
Manufacturing,Africa,India,2014,204,620.35,11.3,15.16,22.78,0.7,1087.94,23677.85,71.02,73.56,13.44,1.18
Construction,Africa,India,2011,137.77,637.87,46.99,197.18,21.01,0.44,221.77,7655.41,36.68,66.04,0.03,0.46
Manufacturing,Africa,India,2018,175.45,360.46,32.07,11.22,40.28,6,673.72,2944.35,23.2,8.62,6.98,1.98
Construction,Africa,India,2009,258.93,967.88,32.31,129.22,24.98,19.74,534.22,12194.94,60.25,93.82,12.16,6.49
Manufacturing,Africa,India,2009,21.12,618.06,38.05,55.8,28.1,8.81,425.98,22566.87,45.37,92.52,8.56,-3.78
Energy,Africa,India,2010,283.59,181.35,81.79,12.18,12.71,6.74,146.53,13584.81,29.8,72.93,-3.5,0.45
Mining,Africa,India,2013,1.65,149.42,0.54,196.37,6.75,4.27,575.19,23365.6,38.76,78.02,4.78,-3
Energy,Africa,India,2013,193.75,665.25,16.91,83.49,28.16,8.44,1478.47,24369.3,46.34,57.37,-9.79,4.65
Manufacturing,Africa,India,2011,162.21,640.68,10.76,169.42,44.84,5.16,1174.6,12452.58,78.78,38.47,-5.13,-0.22
Manufacturing,Africa,India,2001,241.33,226.52,53.7,198.75,33.93,0.38,1046.31,23584.6,42.78,72.09,12.21,-2.37
Manufacturing,Africa,India,2021,236.39,76.62,42.59,137.78,1.88,12.04,693.62,12840.56,84.85,33.25,13.99,5.37
Manufacturing,Africa,India,2021,277.51,894.01,85.31,191.01,13.58,4.51,291.15,78.43,99.93,56.61,14.48,5.07
Mining,Africa,India,2006,100.04,990.39,48.14,115.19,40.54,3.11,1156.4,11798.69,36.28,19.7,2.87,-1.73
Mining,Africa,India,2020,137.5,179.07,99.23,72.98,41.25,18.66,1458.79,1261.64,93.48,78.07,6.88,6.84
Energy,Africa,India,2001,50.27,427.21,7.24,30.21,21,17.83,726.43,6895.11,66.98,9.83,7.68,0.52
Construction,Africa,India,2011,143.49,952.04,11.48,142.35,2.89,0.47,1478.89,6260.62,66.2,10.54,7.87,2.83
Energy,Africa,India,2015,78.48,142.06,40.95,195.09,48.49,9.23,346.97,24937.99,51.96,48.02,-7.92,5.47
Energy,Africa,India,2000,126.1,207.72,97.8,11.5,37.07,15.17,1229.23,10060.58,67.87,98.15,-3.06,8.85
Mining,Africa,India,2010,78.69,548.94,6.39,43.13,34.63,3.39,340.47,16590.82,59.9,72.28,8.66,4.15
Mining,Africa,India,2013,277.98,960.29,75.17,105.18,14.13,7.3,730.2,11267.26,50.67,48.92,2.34,6.01
Manufacturing,Africa,India,2004,11.48,970.64,6.3,96.55,49.99,7.86,932.98,10670.74,47.52,37.52,14.05,-3.08
Manufacturing,Africa,India,2020,251.26,783.39,16.01,112.68,34.4,2.33,901.12,21774.16,46.9,76.68,-4.57,-2.34
Manufacturing,Africa,India,2014,237.69,833.44,73.85,27.11,33.53,8.07,1146.87,14075.4,55.38,25.93,12.5,2.16
Manufacturing,Africa,India,2000,34.11,186.54,68.25,116.92,18.92,2.44,995.82,1397.13,49.62,11.24,-1.81,-4.67
Construction,Africa,India,2005,278.06,510.66,18.66,115.84,44.55,10.19,208.55,24542.2,99.65,9.54,6.32,3.52
Mining,Africa,India,2012,104.39,815.72,94.89,128.46,48.5,17.52,1338.24,2528.77,42.49,89.7,10.84,4.87
Mining,Africa,India,2005,79.1,772.64,90.58,108.15,35.7,5.16,1134.95,19882.93,43.52,19.55,3.13,9.78
Energy,Africa,India,2017,284.51,449.84,49.73,79.3,7.51,2.22,732.41,4252.38,78.54,32.1,4.93,0.58
Mining,Africa,India,2011,51.23,350.09,11.87,17.76,26.6,9.17,153.01,6126.62,82.1,70.61,2.84,-4.93
Energy,Africa,India,2005,60.49,3.94,52.07,86.74,34.09,19.72,1040.03,19792.25,91.29,69.77,6.54,5.05
Construction,Africa,India,2008,50.11,823.19,57.89,104.28,27.88,12.77,887.95,23503.1,66.6,22.54,2.64,6.21
Energy,Africa,India,2018,170.22,221.54,6.98,55.12,44.89,10.97,285.99,7526.53,93.14,68.56,9.58,9.18
Mining,Africa,India,2004,23.32,303.34,80.99,142.37,32.88,10.43,794.85,15928.78,76.68,32.81,9.24,7.32
Mining,Africa,India,2011,211.28,969.74,86.5,74.12,44.12,0.19,375.12,4077.97,80.94,52.57,13.09,0.63
Mining,Africa,India,2008,49.73,915.01,10.93,62.39,4.35,3.32,161.16,7957.06,87.75,44.19,-6.69,-2.89
Energy,Africa,India,2000,191.42,754.68,89.88,50.07,0.72,1.99,1318.07,22461.17,39.05,92.91,-5.4,-2.32
Manufacturing,Africa,India,2016,223.76,156.14,7.39,106.41,41.73,7.4,590.18,8448.75,78.51,79.31,-7.42,-1.12
Energy,Africa,India,2010,91.51,915.29,10.72,44.61,24.05,19.98,1348.52,20498.7,77,87.08,-7.34,-3.09
Energy,Africa,India,2013,47.7,630.85,20.25,155.54,6.74,13.67,521.69,19926.59,86.53,61.75,12.58,7.51
Mining,Africa,India,2014,280.46,386.3,37.53,147.13,7.45,1.56,1103.32,17682.61,76.56,79.18,-6.65,1.65
Construction,Africa,India,2007,243.37,833.76,67.14,10.72,19.61,4.1,1366.23,2446.2,41.25,94.95,7.11,-3.78
Energy,Africa,India,2004,60.41,305.94,83.44,96.65,46.9,13.11,1374.69,3829.2,20.79,25.15,-0.71,-0.06
Manufacturing,Africa,India,2016,208.71,928.83,81.96,27.14,26.15,5.96,902.79,5490.24,51.09,0.17,13.15,-2.42
Manufacturing,Africa,India,2019,249.83,163,31.39,0.12,25.93,1.54,1479.84,4218.67,51.81,20.97,11.29,9.1
Manufacturing,Africa,India,2003,293.95,302.28,57.29,25.08,30.45,10.66,5.16,15007.45,20.25,18.92,4.64,9.27
Manufacturing,Africa,India,2019,278.04,131.1,49.8,101.18,25.89,4.68,920.52,7851.47,35.94,74.25,10.65,0.73
